task_id,task_name,policy,agent_policy,trial,status,passed,score,tokens,wall_time,tool_calls,attempts,error,timestamp
task_001,Find TODO comments,heuristic,single,1,completed,False,0.5,368,0.32727599143981934,1,1,Max retries exceeded,2026-02-19T18:08:37.502878
task_002,Count Python files,heuristic,single,1,ok,True,1.0,445,0.22588491439819336,1,1,,2026-02-19T18:08:37.736132
task_003,Find all markdown files,heuristic,single,1,ok,True,1.0,426,0.21318817138671875,1,1,,2026-02-19T18:08:37.949395
task_004,Find function definitions,heuristic,single,1,ok,True,1.0,405,0.20894527435302734,1,1,,2026-02-19T18:08:38.158413
task_005,Find import statements,heuristic,single,1,ok,True,1.0,423,0.2097640037536621,1,1,,2026-02-19T18:08:38.368239
task_006,Find test files,heuristic,single,1,ok,True,1.0,431,0.2086787223815918,1,1,,2026-02-19T18:08:38.576983
task_007,Find configuration files,heuristic,single,1,ok,True,1.0,404,0.2127532958984375,1,1,,2026-02-19T18:08:38.789800
task_008,Find async functions,heuristic,single,1,ok,True,1.0,457,0.21266818046569824,1,1,,2026-02-19T18:08:39.002534
task_009,Find class definitions,heuristic,single,1,ok,True,1.0,452,0.20968198776245117,1,1,,2026-02-19T18:08:39.212279
task_010,Find docstrings,heuristic,single,1,ok,True,1.0,425,0.2060689926147461,1,1,,2026-02-19T18:08:39.418410
task_011,Find error handling,heuristic,single,1,ok,True,1.0,423,0.19940900802612305,1,1,,2026-02-19T18:08:39.617879
task_012,Find type hints,heuristic,single,1,ok,True,1.0,454,0.21031904220581055,1,1,,2026-02-19T18:08:39.828259
task_001,Find TODO comments,heuristic,single,2,completed,False,0.5,368,0.2114880084991455,1,1,Max retries exceeded,2026-02-19T18:08:40.039844
task_002,Count Python files,heuristic,single,2,ok,True,1.0,445,0.22391915321350098,1,1,,2026-02-19T18:08:40.271384
task_003,Find all markdown files,heuristic,single,2,ok,True,1.0,426,0.212446928024292,1,1,,2026-02-19T18:08:40.483905
task_004,Find function definitions,heuristic,single,2,ok,True,1.0,405,0.21807622909545898,1,1,,2026-02-19T18:08:40.702058
task_005,Find import statements,heuristic,single,2,ok,True,1.0,423,0.22341084480285645,1,1,,2026-02-19T18:08:40.925535
task_006,Find test files,heuristic,single,2,ok,True,1.0,431,0.2279679775238037,1,1,,2026-02-19T18:08:41.153574
task_007,Find configuration files,heuristic,single,2,ok,True,1.0,404,0.22390294075012207,1,1,,2026-02-19T18:08:41.377552
task_008,Find async functions,heuristic,single,2,ok,True,1.0,457,0.21129608154296875,1,1,,2026-02-19T18:08:41.588917
task_009,Find class definitions,heuristic,single,2,ok,True,1.0,452,0.21082687377929688,1,1,,2026-02-19T18:08:41.799812
